FileName_DAPI	FileName_DAPI_flatfield	FileName_Mts	Group_Index	Group_Number	ImageNumber	Intensity_MaxIntensity_Background_Mask	Intensity_MaxIntensity_MaskedMT_image	Intensity_MeanIntensity_Background_Mask	Intensity_MeanIntensity_MaskedMT_image	Intensity_MeanIntensity_Masked_Nuclei	Intensity_MedianIntensity_Background_Mask	Intensity_MedianIntensity_MaskedMT_image	Intensity_MinIntensity_Background_Mask	Intensity_MinIntensity_MaskedMT_image	Intensity_StdIntensity_Background_Mask	Intensity_StdIntensity_MaskedMT_image	Intensity_StdIntensity_Masked_Nuclei	Intensity_TotalArea_Background_Mask	Intensity_TotalArea_MaskedMT_image	Intensity_TotalArea_Masked_Nuclei	Intensity_TotalIntensity_Background_Mask	Intensity_TotalIntensity_MaskedMT_image	Intensity_TotalIntensity_Masked_Nuclei
Image002_ch00.tif	Image005_fh00.tif	Image002_ch01.tif	1	1	1	1.33333	1.66667	1.00003231447	1.21388434388	39.8331738995	1.0	1.33333	0.0	1.0	0.0121021	0.159662	10.6387	278513	86748	64290	278522.0	105302.0	2.56087e+06
Image004_ch00.tif	Image005_fh00.tif	Image004_ch01.tif	2	1	2	1.33333	7.0	1.0000982751	1.22604923472	31.4255755611	1.0	1.33333	0.0	1.0	0.0108749	0.178172	11.4213	379992	33068	46737	380029.0	40543.0	1.46874e+06
Image006_ch00.tif	Image005_fh00.tif	Image006_ch01.tif	3	1	3	1.33333	1.66667	0.99993948842	1.23908325867	49.9667559243	1.0	1.33333	0.0	1.0	0.0066004	0.150031	17.481	878964	34737	28569	878911.0	43042.0	1.4275e+06
Image008_ch00.tif	Image005_fh00.tif	Image008_ch01.tif	4	1	4	1.33333	1.66667	0.999948500307	1.23212478316	56.8600180741	1.0	1.33333	0.0	0.75	0.0072884	0.153036	14.0811	451459	88488	45922	451436.0	109028.0	2.61113e+06
Image010_ch00.tif	Image005_fh00.tif	Image010_ch01.tif	5	1	5	1.33333	1.66667	1.00000026648	1.21963620926	53.7015580941	1.0	1.33333	0.0	1.0	0.00695322	0.157585	13.934	703613	43633	41493	703613.0	53216.4	2.22824e+06
Image012_ch00.tif	Image005_fh00.tif	Image012_ch01.tif	6	1	6	1.33333	2.0	0.999951710355	1.24213707056	60.7981602924	1.0	1.33333	0.0	1.0	0.00786016	0.148669	14.8808	582423	65376	54438	582395.0	81206.0	3.30973e+06
Image014_ch00.tif	Image005_fh00.tif	Image014_ch01.tif	7	1	7	1.33333	1.66667	1.00001008518	1.23663850778	56.1222307049	1.0	1.33333	0.0	1.0	0.00913398	0.15096	11.8404	551552	92766	68113	551558.0	114718.0	3.82265e+06
Image016_ch00.tif	Image005_fh00.tif	Image016_ch01.tif	8	1	8	1.33333	1.66667	1.00012772377	1.23738166998	58.1724213841	1.0	1.33333	0.0	0.75	0.0112784	0.150668	14.1902	457041	133921	74953	457099.0	165711.0	4.3602e+06
Image018_ch00.tif	Image005_fh00.tif	Image018_ch01.tif	9	1	9	1.33333	1.66667	1.00027860692	1.21848336754	36.1453400534	1.0	1.33333	0.0	1.0	0.0130352	0.158072	12.9245	241716	87814	84722	241783.0	107000.0	3.06231e+06
Image020_ch00.tif	Image005_fh00.tif	Image020_ch01.tif	10	1	10	1.33333	1.66667	0.99997469372	1.20421337349	43.7519084749	1.0	1.33333	0.0	0.75	0.0072154	0.162215	12.299	758211	35862	48992	758192.0	43185.5	2.14349e+06
Image022_ch00.tif	Image005_fh00.tif	Image022_ch01.tif	11	1	11	1.33333	1.66667	0.999923275729	1.21550390084	41.6340217122	1.0	1.33333	0.0	1.0	0.00754427	0.15919	11.098	641909	62823	56558	641860.0	76361.6	2.35474e+06
Image025_ch00.tif	Image005_fh00.tif	Image025_ch01.tif	12	1	12	1.33333	4.33333	1.00000667478	1.22095073726	40.2461764124	1.0	1.33333	0.0	1.0	0.00906326	0.160015	10.5088	454135	63292	60676	454138.0	77276.4	2.44198e+06
Image027_ch00.tif	Image005_fh00.tif	Image027_ch01.tif	13	1	13	1.33333	1.66667	1.00000045345	1.22597149799	50.6871411635	1.0	1.33333	0.0	1.0	0.00912373	0.155466	12.7106	413494	105475	75069	413494.0	129309.0	3.80503e+06
Image030_ch00.tif	Image005_fh00.tif	Image030_ch01.tif	14	1	14	1.33333	1.66667	1.00026778027	1.24388249863	46.8769625425	1.0	1.33333	0.0	0.75	0.0129047	0.147494	10.6155	218346	102277	76113	218404.0	127221.0	3.56795e+06
