FileName_DAPI	FileName_DAPI_flatfield	FileName_Mts	Group_Index	Group_Number	ImageNumber	Intensity_MaxIntensity_Background_Mask	Intensity_MaxIntensity_MaskedMT_image	Intensity_MeanIntensity_Background_Mask	Intensity_MeanIntensity_MaskedMT_image	Intensity_MeanIntensity_Masked_Nuclei	Intensity_MedianIntensity_Background_Mask	Intensity_MedianIntensity_MaskedMT_image	Intensity_MinIntensity_Background_Mask	Intensity_MinIntensity_MaskedMT_image	Intensity_StdIntensity_Background_Mask	Intensity_StdIntensity_MaskedMT_image	Intensity_StdIntensity_Masked_Nuclei	Intensity_TotalArea_Background_Mask	Intensity_TotalArea_MaskedMT_image	Intensity_TotalArea_Masked_Nuclei	Intensity_TotalIntensity_Background_Mask	Intensity_TotalIntensity_MaskedMT_image	Intensity_TotalIntensity_Masked_Nuclei
Image002_ch00.tif	Image005_fh00.tif	Image002_ch01.tif	1	1	1	2.14008	3.80026	1.59103158442	2.03196345319	47.7130934763	1.58106	1.99351	0.0	1.46615	0.0352411	0.206569	13.4824	108772	383303	41219	173060.0	778858.0	1.96669e+06
Image004_ch00.tif	Image005_fh00.tif	Image004_ch01.tif	2	1	2	2.00389	3.33333	1.60498254984	1.90830487394	30.2267112021	1.59403	1.88586	0.0	1.31615	0.043581	0.122859	7.72678	10089	465722	59578	16192.7	888740.0	1.80085e+06
Image006_ch00.tif	Image005_fh00.tif	Image006_ch01.tif	3	1	3	1.84047	3.18677	1.60171806201	1.87023988224	35.8088073351	1.59014	1.84436	1.18093	1.45233	0.0386173	0.135463	11.8989	2555	292456	41772	4092.39	546963.0	1.49581e+06
Image008_ch00.tif	Image005_fh00.tif	Image008_ch01.tif	4	1	4	2.21401	3.4773	1.60051472701	1.95865371791	47.9089484022	1.58625	1.92607	1.17899	1.32101	0.0485338	0.162234	13.5025	10875	464871	52948	17405.6	910521.0	2.53668e+06
Image010_ch00.tif	Image005_fh00.tif	Image010_ch01.tif	5	1	5	2.06744	3.76135	1.58739776516	1.98458217914	51.5413855393	1.57588	1.94682	0.0	1.33463	0.0426235	0.196335	13.5178	38392	341869	41796	60943.4	678467.0	2.15422e+06
Image012_ch00.tif	Image005_fh00.tif	Image012_ch01.tif	6	1	6	1.87289	2.77951	1.59370659373	1.85593560865	23.0259591732	1.58366	1.84176	0.0	1.27432	0.0390958	0.101941	6.83106	37257	549375	56507	59376.7	1.0196e+06	1.30113e+06
Image014_ch00.tif	Image005_fh00.tif	Image014_ch01.tif	7	1	7	1.80545	2.25811	1.58420340001	1.74541565631	23.9716958956	1.57458	1.73541	0.0	1.2607	0.0309007	0.0746744	7.12383	173514	400848	45731	274881.0	699646.0	1.09625e+06
Image016_ch00.tif	Image005_fh00.tif	Image016_ch01.tif	8	1	8	1.84436	2.51621	1.58872412957	1.82147478738	35.7507835055	1.57588	1.80674	0.0	1.27043	0.036236	0.0987983	8.73359	55662	387544	64773	88431.6	705902.0	2.31569e+06
Image018_ch00.tif	Image005_fh00.tif	Image018_ch01.tif	9	1	9	0.0	4.89754	0.0	2.06748690105	35.1467316948	0.0	2.03632	0.0	1.49105	0.0	0.172236	11.6078	0	371022	81862	0.0	767083.0	2.87718e+06
Image020_ch00.tif	Image005_fh00.tif	Image020_ch01.tif	10	1	10	2.14397	3.74449	1.59350999134	2.13222156833	30.7846146215	1.56939	2.09598	0.0	1.39591	0.0563559	0.223667	12.4076	107418	321156	52922	171172.0	684776.0	1.62918e+06
Image022_ch00.tif	Image005_fh00.tif	Image022_ch01.tif	11	1	11	2.20882	4.43969	1.60025483568	2.09399620309	54.3350283708	1.58236	2.02205	0.0	1.48541	0.0564736	0.274702	15.4531	29630	151044	41592	47415.6	316286.0	2.2599e+06
Image024_ch00.tif	Image005_fh00.tif	Image024_ch01.tif	12	1	12	1.97406	2.94942	1.61864927879	1.99121104316	33.7371661902	1.607	1.96887	0.0	1.33171	0.0459207	0.142283	8.14005	122988	406668	57368	199074.0	809762.0	1.93543e+06
Image027_ch00.tif	Image005_fh00.tif	Image027_ch01.tif	13	1	13	2.37873	3.85863	1.6098264838	2.27113641482	51.4185694851	1.59403	2.2192	0.0	1.58463	0.0560354	0.274576	13.6061	102440	306367	102173	164911.0	695801.0	5.25359e+06
Image030_ch00.tif	Image005_fh00.tif	Image030_ch01.tif	14	1	14	2.05447	9.63165	1.62131488546	2.24419954222	43.0185146876	1.60441	2.19844	0.0	1.55156	0.0535614	0.270267	16.7447	552069	197145	65259	895078.0	442433.0	2.80735e+06
Image033_ch00.tif	Image005_fh00.tif	Image033_ch01.tif	15	1	15	2.23346	4.07912	1.59317221491	2.19751890676	58.9863047016	1.57847	2.14267	0.0	1.45233	0.0451793	0.270469	13.2122	166314	328454	56534	264967.0	721784.0	3.33473e+06
Image002_ch00.tif	Image005_fh00.tif	Image002_ch01.tif	16	1	16	2.23346	5.29183	1.62008422129	2.12280959323	24.898755513	1.6083	2.07912	0.0	1.48638	0.0505738	0.199666	7.84819	7939	317578	55324	12861.8	674158.0	1.3775e+06
